ID,x0,y0,Label,Num channels,Feat0,Feat1,Feat2
189,61,701,None,3,107,152,74
190,61,1149,None,3,82,141,244
191,61,1239,None,3,95,125,100
192,62,376,None,3,72,151,107
193,62,1274,None,3,94,155,124
194,62,1282,None,3,94,170,145
195,63,1143,None,3,96,134,127
196,64,1172,None,3,81,157,128
197,64,1222,None,3,96,152,93
198,64,1231,None,3,80,112,84
199,64,1558,None,3,102,181,93
200,64,1870,None,3,4,141,172
201,65,1108,None,3,96,143,126
202,65,1122,None,3,82,154,192
203,65,1131,None,3,87,117,127
204,65,1268,None,3,92,109,140
205,65,1940,None,3,105,179,105
206,66,401,None,3,77,72,125
207,66,999,None,3,49,77,118
208,67,969,None,3,95,65,151
209,68,477,None,3,126,80,137
210,70,244,None,3,96,158,61
211,70,353,None,3,88,100,100
212,70,2000,None,3,114,80,66
213,71,601,None,3,90,157,68
214,72,1589,None,3,79,86,151
215,72,1989,None,3,107,101,71
216,73,1849,None,3,176,139,80
217,74,347,None,3,75,172,147
218,74,1560,None,3,54,89,156
219,76,958,None,3,104,179,104
220,76,1248,None,3,108,54,152
221,76,1303,None,3,87,167,252
222,77,1189,None,3,95,123,127
223,78,1138,None,3,90,158,127
224,79,555,None,3,110,182,79
225,80,971,None,3,99,175,102
226,80,1209,None,3,92,142,83
227,80,1291,None,3,37,62,155
228,80,1945,None,3,104,177,74
229,81,1187,None,3,84,164,166
230,82,643,None,3,114,63,127
231,82,1089,None,3,108,168,76
232,82,1273,None,3,97,105,204
233,84,1120,None,3,96,149,143
234,86,1193,None,3,94,133,92
235,86,1262,None,3,89,166,141
236,86,1287,None,3,91,141,161
237,86,1293,None,3,77,146,179
238,86,1930,None,3,102,190,103
239,88,439,None,3,118,67,132
240,88,1308,None,3,87,155,204
241,88,1995,None,3,85,163,108
242,89,1161,None,3,78,137,181
243,90,347,None,3,90,95,115
244,90,1243,None,3,90,119,110
245,90,1289,None,3,88,125,226
246,90,1299,None,3,82,171,183
247,91,1146,None,3,99,169,109
248,91,1259,None,3,93,165,133
249,91,1315,None,3,88,125,186
250,92,733,None,3,101,166,85
251,92,1015,None,3,107,168,76
252,92,1111,None,3,39,120,199
253,92,1138,None,3,83,170,140
254,94,899,None,3,103,181,116
255,94,1203,None,3,88,150,115
256,94,1208,None,3,79,136,122
257,94,1231,None,3,71,72,91
258,95,647,None,3,100,167,85
259,95,1196,None,3,86,140,104
260,95,1258,None,3,93,152,125
261,95,1345,None,3,98,175,92
262,96,288,None,3,91,142,92
263,96,717,None,3,85,123,147
264,96,768,None,3,95,88,133
265,96,1172,None,3,97,98,135
266,96,1178,None,3,96,131,186
267,96,1266,None,3,84,160,131
268,96,1411,None,3,106,178,197
269,98,638,None,3,91,146,121
270,98,1097,None,3,107,183,128
271,98,1168,None,3,98,99,147
272,100,2004,None,3,97,138,88
273,101,937,None,3,116,61,112
274,102,930,None,3,94,72,137
275,102,1253,None,3,93,171,123
276,103,1109,None,3,96,160,94
277,104,721,None,3,100,152,103
278,104,769,None,3,6,111,153
279,104,1180,None,3,86,127,164
280,104,1289,None,3,111,60,135
281,106,1132,None,3,47,68,246
282,106,1239,None,3,95,137,124
283,106,1327,None,3,88,56,149
284,108,1199,None,3,89,106,249
285,108,1270,None,3,93,95,175
286,108,1353,None,3,122,73,99
287,108,1930,None,3,69,73,159
288,109,999,None,3,99,166,100
289,110,1315,None,3,73,107,171
290,110,1874,None,3,154,102,85
291,111,578,None,3,110,187,99
292,111,821,None,3,111,199,100
293,112,983,None,3,105,155,96
294,112,1129,None,3,169,83,162
295,112,1168,None,3,90,136,115
296,112,1262,None,3,86,143,204
297,112,1340,None,3,173,131,119
298,113,791,None,3,142,64,122
299,113,1122,None,3,87,150,109
300,113,1916,None,3,98,132,82
301,114,1155,None,3,79,159,152
302,115,1210,None,3,94,118,98
303,116,291,None,3,98,164,93
304,116,733,None,3,98,179,130
305,116,1175,None,3,92,134,103
306,116,1295,None,3,107,110,165
307,117,1133,None,3,89,123,235
308,117,1161,None,3,99,167,134
309,118,261,None,3,69,106,99
310,118,335,None,3,100,186,135
311,118,825,None,3,107,190,107
312,118,1065,None,3,104,162,73
313,118,1257,None,3,92,109,170
314,119,577,None,3,108,171,94
315,119,770,None,3,98,165,79
316,119,1962,None,3,107,179,97
317,120,553,None,3,81,69,133
318,120,1113,None,3,98,155,96
319,120,1172,None,3,93,165,165
320,122,715,None,3,95,163,84
321,122,1359,None,3,65,58,134
322,123,991,None,3,99,161,83
323,123,1163,None,3,81,153,148
324,123,1189,None,3,92,172,136
325,124,605,None,3,100,153,99
326,124,1216,None,3,97,93,134
327,126,351,None,3,93,71,113
328,126,731,None,3,109,179,87
329,126,1136,None,3,94,136,112
330,126,1194,None,3,89,166,138
331,126,1225,None,3,70,104,183
332,127,1098,None,3,108,169,74
333,127,1145,None,3,74,87,252
334,127,1369,None,3,106,165,104
335,128,520,None,3,91,45,123
336,128,656,None,3,107,166,83
337,128,1211,None,3,82,127,102
338,128,1251,None,3,89,195,236
339,128,1261,None,3,83,160,213
340,129,1315,None,3,95,154,82
341,130,1133,None,3,94,156,126
